id,nobelwinners,category,year,sex
596,Sidney Altman,chemistry,1989,M
597,Thomas Cech,chemistry,1989,M
598,J. Michael Bishop,physiology or medicine,1989,M
599,Harold E. Varmus,physiology or medicine,1989,M
600,Camilo José Cela,literature,1989,M
601,Tenzin Gyatso (The 14th Dalai Lama),peace,1989,M
602,Trygve Haavelmo,economics,1989,M
603,Jerome Isaac Friedman,physics,1990,M
604,Henry Way Kendall,physics,1990,M
605,Richard E. Taylor,physics,1990,M
606,Elias James Corey,chemistry,1990,M
607,Joseph Murray,physiology or medicine,1990,M
608,E. Donnall Thomas,physiology or medicine,1990,M
609,Octavio Paz,literature,1990,M
610,Mikhail Gorbachev,peace,1990,M
611,Harry Markowitz,economics,1990,M
612,Merton Miller,economics,1990,M
613,William F. Sharpe,economics,1990,M
614,Pierre-Gilles de Gennes,physics,1991,M
615,Richard R. Ernst,chemistry,1991,M
616,Erwin Neher,physiology or medicine,1991,M
617,Bert Sakmann,physiology or medicine,1991,M
618,Nadine Gordimer,literature,1991,F
619,Aung San Suu Kyi,peace,1991,F
620,Ronald Coase,economics,1991,M
621,Georges Charpak,physics,1992,M
622,Rudolph A. Marcus,chemistry,1992,M
623,Edmond H. Fischer,physiology or medicine,1992,M
624,Edwin G. Krebs,physiology or medicine,1992,M
625,Derek Walcott,literature,1992,M
626,Rigoberta Menchú,peace,1992,F
627,Gary Becker,economics,1992,M
628,Russell Alan Hulse,physics,1993,M
629,"Joseph Hooton Taylor, Jr.",physics,1993,M
630,Kary Mullis,chemistry,1993,M
631,Michael Smith,chemistry,1993,M
632,Richard J. Roberts,physiology or medicine,1993,M
633,Phillip Allen Sharp,physiology or medicine,1993,M
634,Toni Morrison,literature,1993,F
635,Nelson Mandela,peace,1993,M
636,F. W. de Klerk,peace,1993,M
637,Robert Fogel,economics,1993,M
638,Douglass North,economics,1993,M
639,Bertram Brockhouse,physics,1994,M
640,Clifford Shull,physics,1994,M
641,George Andrew Olah,chemistry,1994,M
642,Alfred G. Gilman,physiology or medicine,1994,M
643,Martin Rodbell,physiology or medicine,1994,M
